eez_list,trip_count,total_trips
"H5,I5,TK",2,20444
"GL,H4,H5,TV",2,20444
"FM,GL,NR,PG,PX,SB,TV",2,20444
"H4,I4,PX,TK,TV",2,20444
"H5,LN,TK,TV",2,20444
"GL,H4,H5",2,20444
"FM,H4,I4,PG,SB",2,20444
"H4,NR,SB,TV",2,20444
"I2,PG,SB",2,20444
"FM,GL,I4,NR,PX",2,20444
"AS,CK,LN,PX,TK",2,20444
"H4,PG,PX,SB",2,20444
"I5,LN,MH",2,20444
"FM,GL,MH,NR,SB,TV",2,20444
"CK,H5,I4,I5,LN,PX,TK",2,20444
"H5,I5,LN,PY,TK",2,20444
"I6,IW,JP",2,20444
"FM,GL,NR,PG,PW,SB",2,20444
"AS,H5,I5,IW,LN",2,20444
"H5,PX,SB,TK,TV",2,20444
"HB,PX",2,20444
"FM,GL,NR,PG,PX,TV",2,20444
"AS,CK,H5,I5,LN,PY",2,20444
"H5,I5,IW,LN,PY",2,20444
"LN,MH",2,20444
"FM,GL,NR,PX,SB,TV",2,20444
"CK,H4,PX,TK,TV",2,20444
"MH,NR,SB,TV",2,20444
"PG,PX,SB,TK",2,20444
"FM,GL,NR,PX,TV",2,20444
"GL,H4,H5,I5,LN,TV",2,20444
"I4,NR",2,20444
"GL,H5,NR,PX",2,20444
"FM,I2,NR,PG,SB",2,20444
"GL,H4,H5,LN,PX,TK,TV",2,20444
"I5,PX",2,20444
"GL,MH,PX,TV",2,20444
"FM,H4,PG,SB",2,20444
"GL,H4,H5,TK,TV",2,20444
"I6,JP",2,20444
"H4,PG,SB",2,20444
"FM,H5",2,20444
"GL,H4,I4,I5,MH",2,20444
"I1,ID,PW",2,20444
"H4,PX,SB,TV",2,20444
"FM,I1,ID",2,20444
"GL,H4,I4,I5,PX,TV",2,20444
"I4,I5,NR",2,20444
"GL,PG,PX",2,20444
"AS,CK,TK",2,20444
"FM,PG,PX,SB,TV",2,20444
"I4,I5,PY",2,20444
"FM,GL,MH,SB",2,20444
"CK,HB,PX,TK",2,20444
"FM,TV",2,20444
"I4,LN,PX",2,20444
"FM,GL,NR,PX",2,20444
"AS,CK,H5,I5,LN",2,20444
"GL,H4,H5,I4,I5,PX,TV",2,20444
"GL,H5,MH,NR",2,20444
"FM,I4,I5,NR",2,20444
"CK,H5,LN,PX,TV",2,20444
"GL,H4,I4,PX,TK",2,20444
"GL,H4,PG,SB",2,20444
"FM,I2,MH",2,20444
"CK,H5,LN,TK,TV",2,20444
"GL,H4,I5",2,20444
"GL,H4,TK",2,20444
"FM,I4,NR,PG",2,20444
"CK,H5,I4,I5,LN,PX",2,20444
"GL,H5,I5,PX",2,20444
"GL,H5,HB,I4,TV",2,20444
"GL,H4,H5,MH,PX,TV",2,20444
"FM,GL,H4",2,20444
"GL,H5,I5,PX,TV",2,20444
"H4,H5,I5,PX",2,20444
"GL,I2,NR,SB,TV",2,20444
"FM,GL,I2,NR,PG,TV",2,20444
"GL,H4,PG,SB,TK,TV",2,20444
"H4,I4,MH,PX",2,20444
"GL,HB,TV",2,20444
"FM,GL,H4,PG,PX,TV",2,20444
"GL,H4,PG,SB,TV",2,20444
"GL,I5,LN",2,20444
"GL,H5,TK",2,20444
"H5,LN,PX,TV",2,20444
"GL,PX,SB",2,20444
"GL,I4,NR,PX,TV",2,20444
"GL,H5,I4,I5,LN,TV",2,20444
"H5,TV",2,20444
"GL,PX,TK",2,20444
"GL,NR,PG,PX,SB",2,20444
"GL,H4,PG,PX,SB,TV",2,20444
"H5,I4,I5,IW",2,20444
"GL,I4,NR,PX",2,20444
"GL,MH,NR,PG,TV",2,20444
"GL,H5,LN,NR,PG,PX",2,20444
"H5,I4,I5,IW,LN,PX",2,20444
"H4,I4,NR",2,20444
"GL,NR,PX,SB,TK,TV",2,20444
"GL,H4,NR,PG,SB",2,20444
"GL,H5,NR,PX,TV",2,20444
"GL,I4,I5,TV",2,20444
"CK,H4,H5,TK",2,20444
"GL,H4,H5,I5,LN,PX",2,20444
"GL,LN,MH,NR,PX",2,20444
"GL,I2,SB,TV",2,20444
"CK,H4,TK,TV",2,20444
"GL,H4,MH,NR,PX,TV",2,20444
"GL,MH,PG,PX,SB,TV",2,20444
"GL,H5,PX,TK",2,20444
"CK,H5,I5,PX",2,20444
"CK,H5,I5,LN,PX",2,20444
"H4,H5,TK,TV",2,20444
"GL,I4,LN,PX",2,20444
"FM,GL,H4,I4,MH",2,20444
"CK,H4,H5,I5,IW,LN",2,20444
"GL,I4,PG,TV",2,20444
"H5,NR",2,20444
"FM,GL,HB,I4,NR,PG",2,20444
"FM,GL,H5,I4,NR,PX",2,20444
"GL,I4,PX,TK",2,20444
"HB,I4,I5,TV",2,20444
"FM,I2,MH,NR,PG",2,20444
"FM,GL,H5,PX",2,20444
"GL,I4,MH,NR,PG,SB,TV",2,20444
"H4,PG,SB,TV",2,20444
"FM,I3,PG",2,20444
"CK,H5,I5,LN,TK",2,20444
"GL,I4,I5,NR,TV",2,20444
"H5,I5,PX,TK",2,20444
"FM,I4,I5,MH",2,20444
"CK,I5,IW",2,20444
"GL,I4,MH,SB",2,20444
"H5,IW,TK",2,20444
"FM,H4",2,20444
"CK,JV,LN",2,20444
"GL,H4,NR,PG,PX,TV",2,20444
"NR,SB,TV",2,20444
"FM,NR,PX,SB,TV",2,20444
"CK,LN,PX,TK",2,20444
"GL,H4,PX,SB,TK,TV",2,20444
"I4,TV",2,20444
"FM,H4,NR,PG",2,20444
"CK,H5,IW,LN",2,20444
"GL,H4,I4,MH,PX,TV",2,20444
"I4,I5,TV",2,20444
"FM,H5,I4,NR",2,20444
"FM,GL,I4,MH,NR,PG,TV",2,20444
"GL,H4,I4,PG,SB",2,20444
"FM,GL,I4,MH,PG,SB",2,20444
"GL,H4,NR,PG,PX,SB,TV",2,20444
"GL,H4,HB,I4",2,20444
"GL,H4,NR,PG,SB,TV",2,20444
"GL,H4,NR,PX,TK,TV",2,20444
"GL,H4,NR,SB",2,20444
"GL,H4,NR,SB,TV",2,20444
"GL,H4,H5,I4,I5,PX",2,20444
"GL,H4,HB,PX,TK,TV",2,20444
"GL,H4,HB,I4,PX,TV",2,20444
"I4,MH,NR,PX,SB",1,20444
"GL,H4,HB,I4,I5,MH",1,20444
"FM,GL,I5,NR,PG",1,20444
"GL,H4,HB,NR",1,20444
"I5,I9,LN",1,20444
"GL,H4,HB,I4,PX",1,20444
"FM,GL,MH,NR,PG,PX,SB,TV",1,20444
"GL,H4,HB,PX",1,20444
"I5,LN,NR,PG",1,20444
"GL,H4,I2,NR,TV",1,20444
"FM,GL,I4,MH,NR,TV",1,20444
"GL,H4,H5,I5,PX,TK,TV,WS",1,20444
"I5,PG",1,20444
"GL,H4,I4,I5,LN,PX",1,20444
"FM,GL,MH,PG,PX,TV",1,20444
"GL,H4,H5,I5,TV",1,20444
"LN,PG,PX,TK",1,20444
"GL,H4,I4,MH,NR,PX",1,20444
"FM,GL,PX",1,20444
"GL,H4,H5,LN",1,20444
"LN,PG,SB",1,20444
"GL,H4,I4,MH,NR,SB",1,20444
"FM,H4,I4,I5,PG,SB",1,20444
"GL,H4,H5,MH,NR",1,20444
I9,1,20444
"GL,H4,I4,MH,PG,PX,TV",1,20444
"FM,H4,I4,MH,NR",1,20444
"GL,H4,H5,NR,PX,TV",1,20444
"PX,TK,WS",1,20444
"GL,H4,I4,MH,PG,TV",1,20444
"FM,H4,I4,NR,PG",1,20444
"GL,H4,HB,PX,TV",1,20444
"SB,TK",1,20444
"GL,H4,I4,PX,SB,TV",1,20444
"FM,H4,I4,PG,SB,TV",1,20444
"GL,H4,I2,PX,TK",1,20444
"PG,PW,SB",1,20444
"GL,H4,I4,NR,SB,TV",1,20444
"FM,H4,PG,PX,SB,TV",1,20444
"GL,H4,I4,I5,LN,PX,TV",1,20444
"PG,PX,SB,TK,TV",1,20444
"GL,H4,I4,MH,SB,TV",1,20444
"FM,H4,PX,SB",1,20444
"GL,H4,I4,I5,LN,SB,TV",1,20444
"PG,SB,TK",1,20444
"GL,H4,SB,TK,TV",1,20444
"FM,H4,PX,SB,TV",1,20444
