eez_list,trip_count,total_trips
"H5,HB,I4,I5",1,41504
"GL,H5,I2,I8,LN,PX",1,41504
"H4,H5,I4,I5,LN,PG,PX",1,41504
"FM,I2,IW,VU",1,41504
"H5,I1,I4,I5,IW",1,41504
"GL,H5,I4,I5,JV,LN,PX",1,41504
"H4,H5,I5",1,41504
"FM,I2,NC,SB",1,41504
"H5,I2,I3,I4,I5,TV",1,41504
"GL,H5,I4,JV,LN,PX",1,41504
"H4,H5,I5,LN,PX",1,41504
"FM,GU",1,41504
"H4,H5,I5,IW",1,41504
"GL,I2,I3,I4,PX,TV",1,41504
"H4,H5,I8,PX,TK,TV",1,41504
"FM,I4,I5,LN,PX",1,41504
"H4,H5,HB,I2,I4,PX",1,41504
"GL,IW",1,41504
"H4,H5,I9",1,41504
"FM,MH,NR",1,41504
"GL,I4,MH",1,41504
"GL,SB,VU",1,41504
"H4,H5,I2,I4,I5,TV",1,41504
"FM,PF,PG",1,41504
"GL,TV",1,41504
"GL,H4,H5,HB,LN,PX",1,41504
"H4,H5,I2,I4,I8,SB",1,41504
"GL,H4,H5,HB,I2,LN,PX,TV",1,41504
"GL,H5,I2,I5,IW,LN,PX",1,41504
"GL,H4,H5,I2,I4,I5,IW,TV",1,41504
"H4,H5,I2,I8,I9",1,41504
"GL,H4,H5,I2,I5,I8,LN,PX",1,41504
"GL,H5,I5,IW,LN,PX,TV",1,41504
"GL,H4,H5,I4,I5,LN,TV",1,41504
"H4,H5,I2,JV,LN,PX,TV",1,41504
"GL,H4,H5,I2,I8,PX",1,41504
"GL,H5,I5,LN,PX,TV",1,41504
"H4,H5,I4,TV",1,41504
"GL,I2,I8,TV,VU",1,41504
"GL,H4,H5,I2,PX",1,41504
"GL,I2,PX,TK",1,41504
"H4,H5,I5,I6,I7,I9,IW",1,41504
"GL,I2,IW,PG,SB",1,41504
"HB,I4",1,41504
"FM,I1,I2,I3",1,41504
"H4,H5,I5,IW,PX,TK,TV",1,41504
"H4,I1,I2,I4,I5",1,41504
"H5,I9,LN,PX",1,41504
"FM,I1,PW",1,41504
"H4,H5,I5,LN,PX,TV",1,41504
"H4,I2,I3,I4,I8",1,41504
"I0,I3,I4,I6,JP,MH",1,41504
"FM,I2,VU",1,41504
"H4,H5,HB,I2,I3,I4,I5,PX,TV",1,41504
"H4,I3,I4,I6,I7,IW",1,41504
"I0,I3,JP,PW",1,41504
"GL,H4,HB,I2,NR,PX",1,41504
"H4,H5,HB,I2,I4,I5,TV",1,41504
"H4,I3,I4,I6,TV",1,41504
"I1,I3",1,41504
"GL,H4,HB,I4,PX",1,41504
"H4,H5,I2,I4,I5,I8,SB,TV",1,41504
"H4,VU",1,41504
"I2,I7,I8,SB",1,41504
"GL,H4,I8,PX,VU",1,41504
"H4,H5,I2,LN",1,41504
"H4,I4,PX,TV",1,41504
"I2,I8,MA,TV,VU",1,41504
"GL,H4,H5,I2,I8,LN,PX",1,41504
"H4,H5,I4,I5,IW,JP,TV",1,41504
"H4,I8",1,41504
"I2,I8,NC,SB,VU",1,41504
"GL,H4,H5,I2,LN",1,41504
"H4,H5,I4,I5,LN,PX",1,41504
"H5,I2,I5,IW,TK",1,41504
"I2,I3,I6",1,41504
"AS,H4,WS",1,41504
"I2,I3,I4,I8,SB,TV",1,41504
"H5,I3,I4,LN",1,41504
"I2,I4,I5",1,41504
"FJ,I2,SB,TV",1,41504
"H5,I5,JV,LN,PX",1,41504
"H5,I4,IW",1,41504
"I2,I4,I5,I6,IW,SB",1,41504
"FJ,I7,MA",1,41504
"H5,I6,I7,IW",1,41504
"H5,I6",1,41504
"H5,I4,PX",1,41504
"FJ,I7,TV",1,41504
"I3,I4,I5,LN",1,41504
"H5,I4,I5,I6",1,41504
"H5,I5,I6,IW",1,41504
"FJ,I8,TV,VU",1,41504
"I3,I4,TV",1,41504
"I2,I3",1,41504
"H5,I6,IW",1,41504
"FJ,NC,VU",1,41504
"I2,IW,NR,SB",1,41504
I0,1,41504
"H4,H5,I2,TV",1,41504
"FJ,SB",1,41504
"I4,I5,IW,KR",1,41504
"H5,IW",1,41504
"H4,H5,I4,I5,I6",1,41504
"FJ,H4,I2,I8,TV",1,41504
"I5,I9",1,41504
"H5,PX,TK",1,41504
"H4,H5,I4,I5,PX",1,41504
"FJ,H4,I4,TV",1,41504
"I5,IW,PX",1,41504
HB,1,41504
"H4,H5,I7",1,41504
"FJ,H4,I8",1,41504
"I5,LN,PF",1,41504
"I5,PX",1,41504
"H4,TO,WF,WS",1,41504
"CK,LN,PF",1,41504
"I5,LN,PX",1,41504
"I6,I7,IW,NZ",1,41504
"H5,HB,I4,I5,JV,LN,PX",1,41504
"CK,I9,PX",1,41504
