eez_list,trip_count,total_trips
"H4,I5,IW,LN,PY",1,20668
"GL,H5,I5,LN,MH,PX",1,20668
"SB,TK",1,20668
"GL,I4,NR,SB",1,20668
"CK,GL,MH,NR,PX,TK,TV",1,20668
"H4,H5,I5,LN,PX",1,20668
"H5,I4,I5,MH,PX",1,20668
"GL,H5,I4,LN,NR,PX",1,20668
"H4,MH,NR,SB",1,20668
"GL,H5,I5,NR",1,20668
"GL,H5,I5,PG,PX",1,20668
"GL,H4,I5,MH",1,20668
"CK,H5,JV,LN,PX",1,20668
"H4,H5,I5,LN,PX,TK",1,20668
"FM,GL,H4,H5,PG,TV",1,20668
"H4,H5,HB,I4,I5",1,20668
"H4,MH,PG,SB,TV",1,20668
"GL,H5,I4,NR,PX",1,20668
"H5,I4,MH",1,20668
"GL,H4,H5,NR,TK,TV",1,20668
"CK,H5,HB,I5,LN,PX,TK",1,20668
"GL,H5,I2,I4,I5,IW,LN",1,20668
"H5,I5,LN,NR,PG,PX,SB",1,20668
"H4,H5,HB,IW,PX",1,20668
"H5,HB,I5,LN,PX",1,20668
"GL,H4,H5,I5,IW,LN,PX,TK,TV",1,20668
"GL,H5,LN,PG,PX",1,20668
"GL,H4,H5,TK",1,20668
"FM,GL,H4,I4,MH,PG,PX,TV",1,20668
"GL,H5,I4,I5,MH,PX",1,20668
"FM,GL,H4,I4,MH,NR,PX",1,20668
"H4,H5,I4,I5,IW",1,20668
"H5,HB,PX,TK",1,20668
"GL,H4,H5,I5,LN",1,20668
"H5,I4,PX,TK",1,20668
"GL,H4,I4,I5,LN,SB,TV",1,20668
"CK,H5,I4,LN",1,20668
"GL,H5,I4,I5,PX,SB",1,20668
"H5,I5,LN,PG,PX",1,20668
"H4,H5,I4,I5,LN,PX",1,20668
"H5,I4,I5,TV",1,20668
"GL,H4,H5,MH,NR",1,20668
"GL,H5,NR",1,20668
"GL,H4,I4,NR,TV",1,20668
"FM,GL,H4,I4,NR,PG,PX",1,20668
"GL,H5,I4,I5,PX,TV",1,20668
"AS,CK,H5,I5,LN,PY,TK",1,20668
"H4,H5,I4,LN,PX",1,20668
"H5,NR,PG,PX",1,20668
"GL,H4,HB,I4,I5",1,20668
"H5,I5,LN,TK",1,20668
"GL,HB,I4,I5,PX,PY,TK,TV",1,20668
"FM,GL,H4,MH,PG,TV",1,20668
"GL,H5,I4,LN,PX",1,20668
"H5,HB,I4,I5,LN",1,20668
"H4,HB,I4,I5,PX",1,20668
